n_nodes,n_edges,n_components,giant_ratio,clustering,density,avg_path_len,diameter,frac_removed,mode,removed
2720.0,7330.0,1.0,1.0,0.23394201740555282,0.0019822382796443327,2.572457434610475,,0.0,baseline,0
2720.0,7330.0,1.0,1.0,0.23394201740555282,0.0019822382796443327,2.572457434610475,,0.0,random_T8,0
2666.0,6873.75,65.25,0.972993248312078,0.21702360484356337,0.0019349349532505077,2.7469601401836297,,0.02,random_T8,54
2611.0,6863.0,20.25,0.9926273458445041,0.23171658734140013,0.002014172283193269,2.5638345234227193,,0.04,random_T8,109
2557.0,6576.375,25.625,0.9903695737192022,0.22722981451842833,0.002012449485073654,2.5582341717982287,,0.06,random_T8,163
2502.0,6317.5,34.125,0.9867106314948042,0.22737116420590475,0.002019176342252867,2.551315875670161,,0.08,random_T8,218
2448.0,5975.375,96.5,0.9578227124183007,0.21401026938528828,0.001995031597981789,2.7344376816093114,,0.1,random_T8,272
2394.0,5666.25,95.125,0.9570802005012531,0.2060905333680153,0.001978148463511474,2.7225435069769572,,0.12,random_T8,326
2339.0,5268.625,166.625,0.9214942283026935,0.18308828828495116,0.0019268706220369378,2.910944420489801,,0.14,random_T8,381
2285.0,5551.75,52.125,0.9775711159737417,0.22278908531436087,0.0021275393087485197,2.543613001822261,,0.16,random_T8,435
2230.0,4877.75,119.0,0.9435538116591928,0.1801474941234933,0.001962612686016171,2.7219439193866988,,0.18,random_T8,490
2176.0,4366.25,229.25,0.8843635110294117,0.15782515717777235,0.0018451022650439485,3.0961882503306164,,0.2,random_T8,544
2720.0,7330.0,1.0,1.0,0.23394201740555282,0.0019822382796443327,2.572457434610475,,0.0,targeted_pagerank,0
2666.0,3620.0,766.0,0.6594148537134283,0.06858725835974464,0.001019016480198849,4.786630821100451,,0.02,targeted_pagerank,54
2611.0,2536.0,1006.0,0.5304481041746457,0.05203307513007511,0.0007442723167970464,5.645806640095157,16.0,0.04,targeted_pagerank,109
2557.0,1948.0,1184.0,0.4321470473210794,0.042231687476690774,0.000596111322259372,6.457067676568955,19.0,0.06,targeted_pagerank,163
2502.0,1578.0,1317.0,0.34492406075139886,0.0332381240199813,0.0005043546130708388,7.109758490992141,22.0,0.08,targeted_pagerank,218
2448.0,1273.0,1431.0,0.2630718954248366,0.024840187952933055,0.0004250235716136339,7.318446142403137,21.0,0.1,targeted_pagerank,272
2394.0,1093.0,1488.0,0.21303258145363407,0.024796112640724174,0.00038157798731401567,7.062706575754074,18.0,0.12,targeted_pagerank,326
2339.0,928.0,1544.0,0.16417272338606242,0.019345411607061883,0.00033939328330452026,7.496967471714535,19.0,0.14,targeted_pagerank,381
2285.0,846.0,1557.0,0.1536105032822757,0.015327896028114846,0.0003242037655156028,7.631957671957672,20.0,0.16,targeted_pagerank,435
2230.0,693.0,1609.0,0.08968609865470852,0.008236173393124064,0.0002788356499224451,8.415829145728644,19.0,0.18,targeted_pagerank,490
2176.0,575.0,1660.0,0.06985294117647059,0.007628676470588236,0.00024298512508451656,7.5798187521784595,19.0,0.2,targeted_pagerank,544
